"Word","AoA_test_min","LgSUBTLWF","Length","Conc.M","SemD","V.Mean.Sum","A.Mean.Sum","Interoceptive.mean","Head.mean","Mouth.mean"
"achieve",4,2.574,7,2.29,2.07,7.75,4.7,2.588235294,2.722222222,1.277777778
"achievement",6,2.253,11,2.37,1.87,7.28,5.57,2.176470588,3.157894737,2.105263158
"acid",2,2.707,4,4.25,1.44,3.26,4.77,1.823529412,1.947368421,1.894736842
"acknowledge",8,2.497,11,2.03,1.99,6.43,3.26,1.75,3.789473684,2.842105263
"acne",6,1.672,4,4.89,1.33,2.18,4.47,0.529411765,3.75,0.65
"acorn",2,1.58,5,4.96,1.5,5.85,4.42,0.133333333,2.142857143,1.714285714
"acoustic",10,1.699,8,3.28,0.96,7.1,4,0.588235294,3.80952381,1.476190476
"acoustics",12,1.362,9,3.12,1.1,6.33,3.19,0.8125,3.782608696,0.956521739
"acquaintance",8,2.438,12,3.41,1.69,5.58,3.24,0.25,2.5,1.722222222
"acquire",6,2.134,7,2.93,1.96,5.5,4.86,1,2.142857143,1.476190476
"acquisition",12,1.875,11,2.6,1.62,5,4.36,0.421052632,2.19047619,1.761904762
"acquit",10,1.398,6,2.13,1.1,5.6,4.56,0.266666667,1.947368421,1.736842105
"acquittal",10,1.58,9,2.38,1.08,6.19,4.95,1.058823529,1.888888889,1.444444444
"acre",4,1.973,4,4.18,1.51,5.53,2.73,0.4,1.904761905,0.333333333
"acrylic",13,1.38,7,4.31,0.94,5.52,3.73,0.222222222,2.294117647,0.823529412
"act",2,3.745,3,2.46,1.99,5.64,4.19,0.80952381,3.15,2.8
"action",2,3.494,6,2.86,2.1,6,6.19,2.3125,2.85,2.9
"activate",6,2.378,8,2.97,1.44,5.7,3.78,0.708333333,2.15,2.05
"active",4,2.767,6,3.32,2.06,6.47,5.62,2.666666667,2.318181818,2.090909091
"activist",12,1.708,8,3.34,1.64,6.24,5.26,0.8,3.315789474,2.947368421
"activity",8,2.818,8,2.72,2.01,6.21,4.86,2.294117647,3.65,3
"actor",2,3.128,5,4.57,1.21,6.15,4.35,0.823529412,3.681818182,1.909090909
"actress",2,2.913,7,4.54,1.27,5.42,5.43,0.65,3.2,2.35
"actual",4,2.947,6,2.22,2.1,6.22,2.75,1.333333333,1.157894737,0.526315789
"actuality",8,1.398,9,1.96,1.62,5.4,5.55,1.142857143,2.631578947,1.157894737
"acupuncture",8,1.58,11,3.83,1.05,4.81,4.9,2.666666667,2.947368421,0.842105263
"acute",6,2.179,5,1.92,1.77,5.1,5.09,1.470588235,2.166666667,1
"ad",6,2.842,2,4.46,1.76,4.11,3.33,0.166666667,3.8,1.05
"adage",14,1.518,5,1.86,1.99,5.55,3.38,0.307692308,2.333333333,1.733333333
"adamant",12,1.708,7,1.65,1.95,5.45,5.74,1.933333333,3.25,3.55
"adapt",8,2.13,5,2.41,1.99,5.84,3.9,1.0625,2.5,1.2
"adaptation",8,1.914,10,2.04,1.69,5.82,3.55,1.5,2.315789474,1.315789474
"add",2,3.227,3,3,2.06,6.23,4,1.47826087,2.95,1.25
"addict",10,2.438,6,3.14,1.2,2.86,5.33,2.25,2.75,2.35
"addicted",8,2.365,8,2.13,1.37,2.89,4.77,3.5,3.8,2.4
"additional",8,2.479,10,2.43,2.14,6.15,3.61,0.818181818,1.473684211,0.473684211
"address",2,3.426,7,3.89,1.98,6.11,3.05,0.176470588,2.6,2.35
"adept",14,1.532,5,2.23,1.95,6.14,4.17,1.266666667,2.631578947,1.105263158
"adequate",8,2.124,8,1.97,2.08,4.7,3.64,1.588235294,2.6,1.2
"adhere",12,1.477,6,2.62,2.01,5.17,3.52,1.411764706,2.45,1.1
"adhesive",6,1.681,8,4.35,0.98,5.84,3.2,0.888888889,1.55,0.25
"adjacent",10,1.839,8,3.63,1.85,5.15,2.78,0.166666667,1.555555556,0.222222222
"adjective",4,1.415,9,2.43,0.82,5.95,3.64,0.35,2.833333333,3
"adjourn",6,1.826,7,2.54,1.2,5.5,3.15,0.454545455,2.533333333,1.466666667
"adjust",2,2.459,6,2.93,1.96,5.76,3,1.166666667,2.75,1.65
"adjustment",2,2.201,10,2.81,1.73,5.53,4.59,0.842105263,1.947368421,1.263157895
"administer",8,1.935,10,2.53,1.9,4.4,3.86,0.944444444,1.5,1.55
"administration",6,2.589,14,2.78,1.86,4.45,3.23,0.9375,3,2.210526316
"administrative",8,1.919,14,2.14,1.76,4.79,3.21,0.567567568,1.894736842,1.210526316
"administrator",6,1.929,13,3.89,1.82,5.32,4.74,0.294117647,2.19047619,1.333333333
"admirable",6,2.127,9,1.81,1.88,7,4.57,2.105263158,2.80952381,1.380952381
"admiral",4,2.927,7,4.11,1.28,4.8,4.05,0,3.315789474,1.947368421
"admiration",6,2.033,10,1.86,1.81,7.58,5.52,3,4.1,2.35
"admire",2,2.859,6,2.04,1.81,7.35,5,2.555555556,3.3,1.85
"admirer",4,2.182,7,2.93,1.64,7.05,6,1.476190476,3,1.333333333
"admissible",8,1.58,10,1.88,1.15,5.16,2.9,0.684210526,3.111111111,1.333333333
"admission",2,2.26,9,2.83,1.78,5.91,3.69,1.789473684,1.842105263,1.526315789
"admit",4,3.48,5,2.32,1.94,5.56,3.35,0.3,2.380952381,2.857142857
"admittance",8,1.544,10,2.26,1.93,6.29,3.6,0.944444444,2.684210526,1.894736842
"adobe",4,1.398,5,4.19,0.78,5.25,3.89,0,0.941176471,0
"adolescence",10,1.653,11,2.81,1.36,6,5.1,2.055555556,2.473684211,2
"adolescent",8,1.978,10,3.48,1.5,5.38,4.2,0.764705882,2.55,1.8
"adopt",4,2.378,5,2.36,2.07,6.9,4.71,1.222222222,2.05,1.35
"adoption",4,2.38,8,3.03,1.87,6.68,4.82,0.7,1.833333333,0.555555556
"adorable",4,2.731,8,1.86,1.43,7.4,4.66,1.055555556,2.2,1.05
"adoration",8,1.491,9,2.19,1.52,6.47,4.36,2.578947368,2.857142857,1.904761905
"adore",2,2.597,5,2.34,1.45,7.37,5.96,3.235294118,3.210526316,1.105263158
"adrenalin",12,1.462,9,3.17,1.54,6.33,5.05,4.533333333,3.111111111,1.333333333
"adrift",6,1.716,6,2.71,1.74,4.36,3.19,1.941176471,2.5,1
"adult",2,2.863,5,4.4,1.7,5.9,4.36,2.15,3.324324324,1.810810811
"adultery",10,2,8,2.79,1.29,2.81,6.42,1.45,2.7,2.9
"adulthood",2,1.58,9,2.5,1.41,5.05,4.28,2.171428571,3.904761905,2.714285714
"advance",4,2.912,7,2.57,2.12,6.11,4.62,0.6875,1.75,0.9
"advanced",4,2.655,8,1.83,2.04,6.14,3.83,0.933333333,2.7,1.35
"advancement",6,1.806,11,2.1,1.74,7.47,5.81,1.441176471,2.323529412,0.970588235
"advantage",8,3.051,9,2,2.19,6.71,3.95,0.263157895,1.45,1.2
"advantageous",6,1.322,12,2.07,1.96,6.79,5.7,1.833333333,2.263157895,1.368421053
"adventure",2,2.836,9,2.59,1.62,7.4,6.36,1.666666667,3.333333333,2.333333333
"adventurer",6,1.58,10,3.73,1.55,7,5.27,1.294117647,3.114285714,1.542857143
"adventurous",6,1.799,11,1.95,1.83,7.37,6.67,2.222222222,3.578947368,2.052631579
"adversary",13,1.892,9,2.93,1.64,4.55,4.41,2,2.764705882,1.176470588
"adverse",12,1.568,7,2.23,1.91,3.68,3.89,2.032258065,2.842105263,2.263157895
"adversity",14,1.74,9,1.44,1.81,4.26,3.82,3.128205128,2.631578947,0.736842105
"advertise",2,1.929,9,2.81,1.72,5.16,4.29,1.157894737,2.545454545,1.090909091
"advertisement",4,1.792,13,3.77,1.72,4.3,4.14,0.0625,3.473684211,1.631578947
"advice",2,3.389,6,2.73,1.95,5.78,3.05,0.588235294,2.25,3.15
